23.252.165.105,5398132
93.190.143.14,4553948
183.60.135.146,3748883
125.88.190.26,3431076
47.89.24.161,3097560
210.56.48.233,2338573
89.38.149.185,2272251
42.51.3.216,2199625
47.89.49.6,2075416
89.36.210.204,2033524
222.186.135.40,1473008
182.239.48.106,1453984
47.88.19.119,1451663
116.31.123.58,1425673
162.159.209.88,1357223
43.230.112.88,1341919
120.52.19.26,1319853
121.54.174.39,1274522
89.156.40.230,1265415
45.35.68.82,1240582
115.159.81.113,1238549
222.186.50.223,1198016
183.131.22.78,1166735
183.131.222.15,1164183
193.194.119.113,1147457
5.28.128.196,1114592
23.252.160.204,1104178
162.211.183.110,1081017
125.88.145.166,1063438
125.65.77.118,1053484
162.231.189.168,1024028
121.196.237.139,1004329
121.41.37.79,1001594
23.238.135.227,987452
89.43.62.65,985533
192.126.118.186,954514
85.14.248.155,946296
183.60.135.161,942209
185.81.59.9,937989
150.254.122.114,937733
76.111.213.35,919836
121.40.248.226,917980
121.199.73.1,911051
221.6.51.122,909757
5.28.159.242,901868
99.20.4.172,901715
113.140.42.56,871838
123.242.206.146,868055
185.121.174.78,841543
89.159.131.124,832079
82.230.154.96,818676
87.116.17.194,785206
202.86.150.98,784497
87.116.17.195,775248
108.246.208.157,746772
91.222.224.132,724147
74.82.9.67,722885
122.224.49.76,717163
84.201.51.243,710916
218.75.17.198,709865
115.29.141.231,706643
124.158.7.18,700940
193.194.119.100,684957
73.196.94.116,683432
78.208.240.83,674681
195.189.120.76,664587
67.246.92.212,650027
158.69.221.191,628968
220.170.92.52,622231
180.97.162.89,599896
193.194.119.104,586640
206.161.217.10,583385
85.221.114.62,582681
195.189.120.81,582597
122.144.142.82,582054
149.56.41.50,580689
70.72.193.106,567648
103.17.41.189,565392
61.160.213.175,559892
120.24.157.178,559132
64.215.25.1,555913
104.203.59.25,554550
222.186.59.112,550021
73.233.252.37,547050
222.187.220.200,545107
85.195.79.211,544356
121.198.18.183,542989
188.165.53.25,532982
176.154.16.101,530162
103.242.75.13,528305
84.90.229.61,526655
158.69.128.127,526261
188.212.103.17,519169
14.29.49.42,510774
122.144.142.81,509231
112.74.109.47,505333
66.230.175.56,494576
212.91.27.95,493723
92.93.65.217,488858
47.90.7.98,482284
